"Genes","YG_2h_prob","YG_2h_l2fc","YG_2h_sig","YG_training_prob","YG_training_l2fc","YG_training_sig","Old_2h_prob","Old_2h_l2fc","Old_2h_sig","Old_training_prob","Old_training_l2fc","Old_training_sig"
"2108",0.771681696966716,-0.00324800005685118,"FALSE",0.840171690322359,0.197531826997351,"TRUE",0.703743984079368,-0.0302945915647684,"FALSE",0.550944696068234,0.205464246704327,"FALSE"
"64951",0.780489000761084,-0.0141652094457582,"FALSE",0.952726257413872,0.267581101395775,"TRUE",0.647438127331677,0.0156081252402166,"FALSE",0.654699365639232,0.254507745545454,"FALSE"
"4134",0.788227392998979,-0.0386136899116738,"FALSE",0.831905389664764,-0.344641615455796,"TRUE",0.704431576752786,-0.0237409285073123,"FALSE",0.444827066199536,-0.250747654361901,"FALSE"
"6122",0.708299317593364,0.123729638478571,"FALSE",0.988641687896767,0.667064979456841,"TRUE",0.719828813508722,-0.144687756403732,"FALSE",0.285410669628062,0.15374139465306,"FALSE"
"23530",0.736684334542214,-0.137625535752779,"FALSE",0.912944371580862,0.332795905532513,"TRUE",0.666183642801546,0.00465652403500185,"FALSE",0.693871872560297,0.28984031099271,"FALSE"
"2271",0.787866627982314,-0.0508114159635962,"FALSE",0.958551755621201,0.338174603439948,"TRUE",0.670196487522016,0.00257826650152286,"FALSE",0.768591002537856,0.285008342911949,"FALSE"
"4706",0.773362498897272,-0.00594712213145138,"FALSE",0.950807865997252,0.377525881737971,"TRUE",0.652069388342676,0.0150825945730798,"FALSE",0.753998218023259,0.304460069648867,"FALSE"
"6678",0.761122147257553,0.0387647885716637,"FALSE",0.999999995685399,1.42426344150731,"TRUE",0.714211140120929,-0.0582834322070765,"FALSE",0.765340617709097,0.660767666209669,"FALSE"
"10957",0.701627733419351,0.103803688873021,"FALSE",0.815141439152238,-0.546275914140753,"TRUE",0.6904822704958,-0.00911569773363676,"FALSE",0.334506251545773,-0.288613571168697,"FALSE"
"231",0.785763873991757,-0.0535602447505278,"FALSE",0.866173940898176,0.178063301059539,"TRUE",0.716778781964385,-0.0326968891297557,"FALSE",0.549391107262483,0.161102265315415,"FALSE"
"5164",0.768451854498273,0.00350468780943114,"FALSE",0.843924192446464,0.210236769347017,"TRUE",0.660444139020054,0.0119095823412658,"FALSE",0.0250354418317064,-0.046007639820972,"FALSE"
"8209",0.757013937407479,0.0212217756755784,"FALSE",0.98724496153035,0.680357425814772,"TRUE",0.661736835930794,0.00775952119600978,"FALSE",0.95438395625029,0.540492647770259,"TRUE"
"64756",0.716729901741129,-0.122843800165456,"FALSE",0.940743008824327,0.369093884422628,"TRUE",0.601161586679333,0.0426230756311065,"FALSE",0.797259907053122,0.406816821049448,"FALSE"
"1634",0.72612097975942,0.335561712209574,"FALSE",0.95560109439675,0.557671988959242,"TRUE",0.716868872346796,-0.333391950817547,"FALSE",0.343610211710083,-0.659981063078211,"FALSE"
"4267",0.700958943295608,0.117392554370416,"FALSE",0.958756204388303,0.405997293372588,"TRUE",0.711441805113109,-0.188605044384073,"FALSE",0.126305864479028,-0.132092451952467,"FALSE"
"103910",0.766438214979495,-0.0794142111541372,"FALSE",0.834375251218986,0.160319366497977,"TRUE",0.456104017253384,0.0891524842088703,"FALSE",0.258709950297128,0.101658633627036,"FALSE"
"9315",0.786905474994131,-0.0752838184945744,"FALSE",0.836192333989794,0.229441629945339,"TRUE",0.721551903277426,-0.0786262992130357,"FALSE",0.268034246736256,-0.164844952551981,"FALSE"
"5216",0.734774024026897,0.0707852919506664,"FALSE",0.944137902296763,0.366551166717816,"TRUE",0.71998254203073,-0.0473995799996135,"FALSE",0.288648226533184,0.119882522326809,"FALSE"
"54205",0.782390921161118,-0.101686821317605,"FALSE",0.911431524488847,0.36740191627365,"TRUE",0.682489963282918,-0.00439702403872497,"FALSE",0.651937440395545,0.331509405554966,"FALSE"
