"","Trained_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"102465432",291044.466666667,192253.93,1.80500074687881,0.97476850965901,0.59822649969955,"TRUE"
"58",31580.1883333333,34943.1466666667,-0.746871129070027,0.468216884609076,-0.145989755333474,"FALSE"
"4550",35648.4983333333,27127.6983333333,1.4761978583955,0.95051945127302,0.394074659043852,"TRUE"
"1158",17614.0633333333,17294.0283333333,0.127092989642931,0.163588157001836,0.0264538003554252,"FALSE"
"2597",9614.995,8363.68,1.0246578419434,0.91001806007893,0.201148242828906,"TRUE"
"7169",9513.20333333333,10195.915,-1.02470632425843,0.56848921263749,-0.0999881317628151,"FALSE"
"4632",11016.7516666667,8780.005,0.861707098892713,0.860450517865152,0.327405235748052,"TRUE"
"100616209",42519.265,30484.0483333333,0.884167730866649,0.871415324057865,0.480062150348279,"TRUE"
"7125",5686.27833333333,6625.40166666667,-0.579024508370043,0.351571263571735,-0.220523202838396,"FALSE"
"4151",11223.4083333333,10766.2583333333,0.265402901426294,0.374410825369613,0.0599939132853795,"FALSE"
"7140",5533.03333333333,5197.36666666667,0.232751755433078,0.324912262276644,0.0902897725769898,"FALSE"
"7136",4695.45666666667,4175.78,0.381014440546253,0.540644490492181,0.169219771233575,"FALSE"
"226",5880.51833333333,5079.195,1.19130599236672,0.938694752714218,0.211343462968217,"TRUE"
"29895",6347.09,5926.29,0.342224103176024,0.487477478437844,0.0989660742089669,"FALSE"
"7168",3679.10333333333,3071.43166666667,0.57496106920965,0.698221143892907,0.260442910689188,"FALSE"
"1674",5236.57333333333,5799.875,-0.881368520714277,0.551306663603501,-0.147398745985692,"FALSE"
"4633",6943.96166666667,9534.435,-1.16030299875409,0.555909601414916,-0.457388464995496,"FALSE"
"4620",3934.88833333333,3411.87833333333,0.465089026246599,0.632631140109118,0.205756493176765,"FALSE"
"2027",2902.35,2435.31833333333,1.29615902123636,0.93739489375561,0.253111140351571,"TRUE"
"4619",492.4,1295.61333333333,-1.50996103269363,0.75089977567145,-1.39573255335835,"FALSE"
"7134",6948.315,9586.38166666667,-1.2748339608806,0.662994121402485,-0.464323220003727,"FALSE"
"4549",7264.73,5717.14666666667,1.46117556242142,0.953904693068617,0.345613878451161,"TRUE"
"5837",2106.945,2303.88666666667,-0.661398912615831,0.433587018561683,-0.12891709480817,"FALSE"
"487",1470.45833333333,1960.71,-1.6590458428244,0.824232737090722,-0.415110263791408,"TRUE"
"4604",2951.06833333333,3464.085,-1.40050863663171,0.723503954532597,-0.231237003216062,"FALSE"
"7138",4685.12,5725.465,-0.742989860820334,0.467071734474307,-0.289306867935848,"FALSE"
"8557",2451.285,3032.76166666667,-1.18346765215797,0.588221572478873,-0.30709389674977,"FALSE"
"2273",3663.04,3892.00166666667,-0.501970842756826,0.330879181220204,-0.0874708727164684,"FALSE"
"58529",1983.875,2271.49833333333,-1.52557561039117,0.771981777630473,-0.19532311958991,"FALSE"
"5224",1365.3,1115.64333333333,1.42411060026432,0.958508121007724,0.291342115039158,"TRUE"
"4625",2839.07833333333,3634.505,-0.914976381667962,0.567684321432945,-0.35633623505742,"FALSE"
"7178",1460.13,1544.79,-0.455849383320996,0.29225695063128,-0.0813139077960194,"FALSE"
"8531",1998.57,2033.14166666667,-0.151419669236059,0.0352167877745415,-0.0247426396998572,"FALSE"
"1339",2924.205,2838.96333333333,0.202698780019998,0.28092152263097,0.0426802382483253,"FALSE"
