"","TwoHour_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"100616184",NA,NA,NA,NA,NA,NA
"102724156",NA,NA,NA,NA,NA,NA
"137209",NA,NA,NA,NA,NA,NA
"101929076",NA,NA,NA,NA,NA,NA
"2913",NA,NA,NA,NA,NA,NA
"100170220",NA,NA,NA,NA,NA,NA
"352999",NA,NA,NA,NA,NA,NA
"103504730",1.055,1.045,0.00617439199814216,0.673343580128596,0.0137400566263025,"FALSE"
"102546229",NA,NA,NA,NA,NA,NA
"677795",NA,NA,NA,NA,NA,NA
"54550",NA,NA,NA,NA,NA,NA
"101927314",NA,NA,NA,NA,NA,NA
"56924",NA,NA,NA,NA,NA,NA
"401136",NA,NA,NA,NA,NA,NA
"84059",NA,NA,NA,NA,NA,NA
"1539",NA,NA,NA,NA,NA,NA
"693185",NA,NA,NA,NA,NA,NA
"643847",NA,NA,NA,NA,NA,NA
"83942",NA,NA,NA,NA,NA,NA
"4318",NA,NA,NA,NA,NA,NA
"105374250",NA,NA,NA,NA,NA,NA
"105371703",NA,NA,NA,NA,NA,NA
"11197",NA,NA,NA,NA,NA,NA
"6862",NA,NA,NA,NA,NA,NA
"4922",NA,NA,NA,NA,NA,NA
"399881",NA,NA,NA,NA,NA,NA
"390077",NA,NA,NA,NA,NA,NA
"101927726",NA,NA,NA,NA,NA,NA
"728798",NA,NA,NA,NA,NA,NA
"692211",2.205,0.5,0.914275234960124,0.538265137257278,2.1407786557828,"FALSE"
"29907",NA,NA,NA,NA,NA,NA
"84518",NA,NA,NA,NA,NA,NA
"339978",NA,NA,NA,NA,NA,NA
"101928386",NA,NA,NA,NA,NA,NA
"100505683",NA,NA,NA,NA,NA,NA
"101928557",NA,NA,NA,NA,NA,NA
"646424",NA,NA,NA,NA,NA,NA
"402569",NA,NA,NA,NA,NA,NA
"338862",NA,NA,NA,NA,NA,NA
"25984",NA,NA,NA,NA,NA,NA
"11065",NA,NA,NA,NA,NA,NA
"150379",NA,NA,NA,NA,NA,NA
"445372",NA,NA,NA,NA,NA,NA
"100533195",NA,NA,NA,NA,NA,NA
"401337",NA,NA,NA,NA,NA,NA
