"","TwoHour_mean","xBaseline_mean","theta","prob","log2FC","threshold"
"102465432",185799.74,192253.93,-0.125651838919422,0.787173145548102,-0.0492646067711843,"FALSE"
"58",35117.1533333333,34943.1466666667,0.042721433945364,0.764486473588532,0.00716637157621122,"FALSE"
"4550",32784.34,27127.6983333333,1.48378739155976,0.914232447213981,0.273240205006374,"TRUE"
"1158",17171.6666666667,17294.0283333333,-0.0556450257773916,0.778978789085749,-0.0102438851953194,"FALSE"
"2597",7887.68666666667,8363.68,-0.305549050322238,0.769212967009046,-0.0845356217929513,"FALSE"
"7169",10442.07,10195.915,0.309983489251503,0.709134335692394,0.0344164839085102,"FALSE"
"4632",8905.68833333333,8780.005,0.0590462328227019,0.762075600070834,0.0205053622498664,"FALSE"
"100616209",30552.295,30484.0483333333,0.00595526061992466,0.76914480615686,0.00322624728848303,"FALSE"
"7125",6600.12,6625.40166666667,-0.0146384950942243,0.772087694482768,-0.00551566591799631,"FALSE"
"4151",10172.8933333333,10766.2583333333,-0.317734682699696,0.764172137265526,-0.0817868848773834,"FALSE"
"7140",5110.815,5197.36666666667,-0.0730448896997483,0.781516563151023,-0.0242274726652464,"FALSE"
"7136",4428.27333333333,4175.78,0.213940901863539,0.731434245250662,0.0846985687637815,"FALSE"
"226",5000.27333333333,5079.195,-0.111404754139895,0.785857918850179,-0.0225929027762548,"FALSE"
"29895",5764.51166666667,5926.29,-0.136128619506197,0.787945418388684,-0.0399308286146446,"FALSE"
"7168",2899.485,3071.43166666667,-0.221241487505365,0.787046739741824,-0.0831146117740249,"FALSE"
"1674",5778.16833333333,5799.875,-0.0319569562476836,0.774981738024009,-0.00540957330076402,"FALSE"
"4633",8817.93,9534.435,-0.331158430290508,0.759047070891849,-0.112707424218963,"FALSE"
"4620",3272.58333333333,3411.87833333333,-0.143988384227038,0.788377667961178,-0.0601362719106801,"FALSE"
"2027",2324.54,2435.31833333333,-0.36614740488595,0.746612070809754,-0.0671651153873706,"FALSE"
"4619",1218.00166666667,1295.61333333333,-0.104306570735557,0.785132395781115,-0.089119112919319,"FALSE"
"7134",8595.85166666667,9586.38166666667,-0.545840945118621,0.641128320953647,-0.157345792449827,"FALSE"
"4549",6455.97666666667,5717.14666666667,0.865745700569034,0.803276090349844,0.175340063015735,"TRUE"
"5837",2311.76166666667,2303.88666666667,0.0251000986591032,0.76679868809665,0.00492292031391563,"FALSE"
"487",2119.51166666667,1960.71,0.477944433610679,0.713176084326835,0.112355738978584,"FALSE"
"4604",3437.785,3464.085,-0.0559118785241326,0.779020895625972,-0.0109950095337375,"FALSE"
"7138",5732.28833333333,5725.465,0.0052827875507186,0.769232181269147,0.00171831074376552,"FALSE"
"8557",2967.92166666667,3032.76166666667,-0.0999988470432765,0.784677839610441,-0.0311791115032015,"FALSE"
"2273",3515.52166666667,3892.00166666667,-0.722928160889653,0.534918133393419,-0.146773541876261,"FALSE"
"58529",2199.125,2271.49833333333,-0.33555078598559,0.757475970044116,-0.0467146363983962,"FALSE"
"5224",1140.245,1115.64333333333,0.123354149866377,0.751846783249892,0.0314679668585599,"FALSE"
"4625",3405.69,3634.505,-0.275821329516708,0.780301831795247,-0.0938117693131182,"FALSE"
"7178",1508.675,1544.79,-0.163208198424487,0.788862909773146,-0.0341286775386716,"FALSE"
"8531",2239.91666666667,2033.14166666667,0.985833722604554,0.808084347897468,0.139734315795128,"TRUE"
"1339",2891.37166666667,2838.96333333333,0.125193159461694,0.751539114819281,0.0263898535852099,"FALSE"
"10324",1941.34833333333,2099.275,-0.555363155635551,0.637755129904627,-0.112832166637094,"FALSE"
"6588",3104.98666666667,3171.20166666667,-0.101517610373846,0.784839253456564,-0.0304425525798876,"FALSE"
"4606",925.653333333333,928.333333333333,-0.00866076934771661,0.771167347313179,-0.00417093118537646,"FALSE"
"6171",1264.25666666667,1286.38833333333,-0.0818719693838349,0.782632670012817,-0.0250368413351683,"FALSE"
"1410",2074.06833333333,2122.835,-0.131459185608528,0.787626863766347,-0.033528813613398,"FALSE"
"1937",1211.77666666667,1262.73833333333,-0.369028088098562,0.745509238864468,-0.0594318813426166,"FALSE"
"5315",617.208333333333,623.425,-0.0434480026655269,0.776962945516494,-0.0144584689066478,"FALSE"
"844",1157.22166666667,1259.855,-0.548577916121474,0.63997031387947,-0.12259245952315,"FALSE"
"2495",908.63,837.695,0.401458751475919,0.701079688927549,0.117267876825419,"FALSE"
"761",1645.29333333333,1958.64666666667,-0.564189571805362,0.636180242523661,-0.25151234398203,"FALSE"
"1917",1151.77,1109.545,0.272847458800312,0.717807173195796,0.0538844696074218,"FALSE"
"6230",1073.80166666667,1104.89,-0.173236879553547,0.788820424011488,-0.0411751965215266,"FALSE"
"6271",754.151666666667,839.861666666667,-0.250910769153069,0.785180746231194,-0.155297030053055,"FALSE"
"6144",668.431666666667,671.496666666667,-0.0254368568217572,0.77386428856768,-0.00660015599730949,"FALSE"
"7316",681.983333333333,884.716666666667,-1.97246107515555,0.75494439544695,-0.375479019134432,"FALSE"
"11155",1744.89166666667,1730.72833333333,0.0529290274981823,0.763000674804646,0.0117581806235738,"FALSE"
"6168",980.281666666667,973.481666666667,0.0424618795098384,0.764522967072084,0.0100425325051497,"FALSE"
"7167",525.598333333333,565.941666666667,-0.4667483461325,0.699155544302422,-0.106692656846105,"FALSE"
"6124",823.906666666667,839.188333333333,-0.138461419882858,0.788087939774679,-0.026513705149763,"FALSE"
"6194",894.055,922.556666666667,-0.238918518939676,0.786199583349132,-0.0452739442000421,"FALSE"
"6159",1040.75,1055.96166666667,-0.0990948519795518,0.784581609320303,-0.0209339047090551,"FALSE"
"274",739.18,742.83,-0.0463007391323299,0.777446098302491,-0.00710635899398967,"FALSE"
"104564225",1450.59166666667,1516.80166666667,-0.179461123948553,0.788707001029667,-0.0643909885128397,"FALSE"
"6210",692.166666666667,716.631666666667,-0.222494795521687,0.786994149015676,-0.0501123291318338,"FALSE"
"6154",735.203333333333,777.371666666667,-0.455472735215373,0.705479395951035,-0.0804612181933848,"FALSE"
"9499",1077.70666666667,1083.3,-0.0531357318263042,0.778576725564523,-0.00746827152966767,"FALSE"
"6176",1465.04,1599.16666666667,-0.450655026190479,0.708062434576605,-0.12638025059885,"FALSE"
"6229",882.92,938.335,-0.385812101225175,0.738715996098574,-0.0878203555280314,"FALSE"
"6208",789.558333333333,834.408333333333,-0.464893397108389,0.700228974566031,-0.079707708565134,"FALSE"
"6232",1062.67666666667,1093.345,-0.231466950881473,0.786602028415888,-0.0410460039317623,"FALSE"
"88",1055.42833333333,1118.295,-0.304615830510546,0.769607320522548,-0.0834721945092545,"FALSE"
"6205",962.7,1001.935,-0.33858072924667,0.756413736867527,-0.0576307220422822,"FALSE"
"1346",689.598333333333,719.183333333333,-0.304158159551107,0.769799056893819,-0.0606032999679623,"FALSE"
"11224",765.803333333333,765.526666666667,0.00172413256628571,0.769698916465714,0.00052130583521801,"FALSE"
"9659",618.396666666667,682.366666666667,-0.679347261448386,0.583085816926056,-0.142014630564725,"FALSE"
"6155",675.408333333333,686.701666666667,-0.135273138762998,0.787890487456689,-0.0239234853905042,"FALSE"
"2778",1055.40666666667,1057.83666666667,-0.0277485454790348,0.77425797676615,-0.00331788624548983,"FALSE"
